"","neighbourhood_group","population"
"1","Centro",141236
"2","Arganzuela",154243
"3","Retiro",118557
"4","Salamanca",146016
"5","Chamartín",145700
"6","Tetuán",159849
"7","Chamberí",138667
"8","Fuencarral - El Pardo",247692
"9","Moncloa - Aravaca",120834
"10","Latina",240155
"11","Carabanchel",258633
"12","Usera",142454
"13","Puente de Vallecas",239057
"14","Moratalaz",93810
"15","Ciudad Lineal",216818
"16","Hortaleza",193228
"17","Villaverde",154808
"18","Villa de Vallecas",114733
"19","Vicálvaro",75485
"20","San Blas - Canillejas",160258
"21","Barajas",50077
