"","id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","reviews_per_month","availability_365"
"1",6369,"Rooftop terrace room ,  ensuite bathroom","Chamartín","Hispanoamérica",40.45724,-3.67688,"Private room",60,1,0.58,180
"2",21853,"Bright and airy room","Latina","Cármenes",40.40381,-3.7413,"Private room",31,4,0.42,364
"3",23001,"Apartmento Arganzuela- Madrid Rio","Arganzuela","Legazpi",40.3884,-3.69511,"Entire home/apt",50,15,0,1
"4",24805,"Gran Via Studio Madrid","Centro","Universidad",40.42183,-3.70529,"Entire home/apt",92,5,0.13,72
"5",26825,"Single Room whith private Bathroom","Arganzuela","Legazpi",40.38975,-3.69018,"Private room",26,2,1.12,365
"6",28200,"Apartamento Arganzuela Planetario","Arganzuela","Legazpi",40.3886,-3.69492,"Entire home/apt",85,1,0.03,365
"7",30320,"Great Vacational Apartments","Centro","Sol",40.41476,-3.70418,"Entire home/apt",65,5,1.29,351
"8",30959,"Beautiful loft in Madrid Center","Centro","Embajadores",40.41259,-3.70105,"Entire home/apt",54,3,0.11,0
"10",40718,"COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA","Centro","Justicia",40.41969,-3.69736,"Entire home/apt",79,3,0.91,302
"11",40916,"Holiday Apartment Madrid Center","Centro","Universidad",40.42247,-3.70577,"Entire home/apt",90,5,0.38,346
"12",47957,"Amazing Apartment, Salamanca Distri","Salamanca","Goya",40.42792,-3.67682,"Entire home/apt",82,10,0.44,319
"13",59923,"Habitación para féminas en el centro de Madrid","Centro","Palacio",40.42103,-3.71038,"Private room",40,1,0.15,365
"14",62423,"MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID","Centro","Justicia",40.41884,-3.69655,"Private room",24,1,2.21,357
"15",64131,"Habitación Metro Lacoma","Fuencarral - El Pardo","Peñagrande",40.48543,-3.72318,"Private room",21,2,0.46,364
"16",70059,"Tu hogar en centro de Madrid.","Centro","Universidad",40.42381,-3.71038,"Entire home/apt",51,5,0.33,38
"17",70316,"Superbly located Monthly rental Bills Incl.","Centro","Palacio",40.42191,-3.71038,"Entire home/apt",75,28,0.1,348
"18",72150,"Sunny attic duplex flat with terrace next to Sol","Centro","Embajadores",40.4115,-3.70449,"Entire home/apt",139,2,0.87,180
"19",74352,"Cozy apartment in the coolest  neighbourhood","Centro","Embajadores",40.40864,-3.70884,"Entire home/apt",80,8,0.11,288
"20",75609,"Estudio Museo Dino","Centro","Embajadores",40.40892,-3.69697,"Entire home/apt",63,3,0.51,46
"21",82481,"Retiro Park, Stay at cosy studio","Salamanca","Recoletos",40.42342,-3.68123,"Entire home/apt",63,3,0.89,0
"22",84719,"Cool Apart. (10min Center + WIFI)","Centro","Embajadores",40.40866,-3.70374,"Entire home/apt",46,2,1.53,37
"23",86042,"Cozy attic with intimate rooftop terrace+ elevator","Centro","Embajadores",40.40939,-3.69812,"Entire home/apt",125,2,1.28,179
"24",89954,"Amazing apt in the historic center","Centro","Palacio",40.41358,-3.71353,"Entire home/apt",114,2,1.75,365
"25",92920,"Bedroom in Chueca Madrid","Centro","Justicia",40.42491,-3.69552,"Private room",70,2,0.76,363
"26",93100,"*** MALASAÑA B&B ***","Centro","Universidad",40.42378,-3.70248,"Private room",45,1,5.31,289
"27",96807,"double room, bathroom","Puente de Vallecas","Palomeras Bajas",40.38159,-3.65534,"Private room",31,4,0.64,365
"28",100411,"Ático muy luminoso","Fuencarral - El Pardo","Valverde",40.50044,-3.67032,"Entire home/apt",60,2,0.05,0
"29",101507,"NICE FLAT IN THE CENTER OF MADRID","Centro","Embajadores",40.40786,-3.70223,"Entire home/apt",50,3,0.68,31
"30",102040,"Nice Single Room with wifi.","Ciudad Lineal","Pueblo Nuevo",40.43422,-3.64196,"Private room",19,3,0,89
"31",102194,"Chic apartment CHUECA totally soundproofed","Centro","Justicia",40.42318,-3.69748,"Entire home/apt",96,2,0.19,226
"32",103541,"CENTRAL AND COMFORT APTO. W/PARKING","Chamberí","Almagro",40.43815,-3.69764,"Entire home/apt",70,2,1.57,313
"33",114854,"NICE CENTRAL TOURISM-BUSINESS APTO","Chamberí","Rios Rosas",40.4382,-3.69389,"Entire home/apt",70,2,0.98,320
"34",119389,"Madrid Apartment Latina","Centro","Embajadores",40.40919,-3.70908,"Entire home/apt",105,3,0.67,233
"35",120293,"ROOM IN THE CENTER -LA LATINA- WIFI","Centro","Palacio",40.41143,-3.70912,"Private room",20,1,1.68,45
"36",120762,"SHINY ROOM in DOWNTOWN / MALASAÑA!!","Centro","Universidad",40.42231,-3.70482,"Private room",32,1,1.84,262
"37",123864,"LOVELY STUDIO IN OLD TOWN-A/C-WIFI","Centro","Embajadores",40.41001,-3.70704,"Entire home/apt",44,1,4.46,83
"38",127819,"140 m2 Architect flat - Madrid center","Centro","Cortes",40.4141,-3.70289,"Entire home/apt",148,1,0.86,343
"39",132428,"Habitacion en Anton Martin","Centro","Embajadores",40.41012,-3.69709,"Private room",30,3,2.21,1
"40",136058,"Calm, affordable room in Madrid.","Villaverde","Los Angeles",40.35761,-3.69723,"Private room",21,1,0.6,289
"41",154224,"NICE FLAT SANTA ANA.45m2 WIFI (A)","Centro","Cortes",40.41392,-3.70049,"Entire home/apt",69,3,0.82,341
"42",163429,"Centrical loft in Madrid (Chamberi)","Chamberí","Trafalgar",40.43765,-3.70408,"Entire home/apt",65,90,0.07,1
"43",167183,"private house B & B. Arturo Soria (Metro)","Hortaleza","Piovera",40.45575,-3.64912,"Private room",45,1,0.22,363
"44",170750,"2-bedroom attic & rooftop terrace","Centro","Universidad",40.42386,-3.70489,"Entire home/apt",91,25,1.65,340
"45",171144,"Penthouse in PALACIO with 2 ROOMS","Centro","Palacio",40.41678,-3.71156,"Entire home/apt",120,3,0.09,1
"46",177523,"<U+2605>STAYCATION<U+2605> Centro - Exclusivo, Estudio Diseño","Centro","Universidad",40.42876,-3.70379,"Entire home/apt",72,5,0.11,233
"47",177846,"HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ","Centro","Universidad",40.42399,-3.70389,"Private room",20,3,0.52,365
"48",177850,"PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA","Centro","Universidad",40.42609,-3.70551,"Private room",18,4,0.93,365
"49",196197,"Views of San Andres Baroque from a Central Madrid Apartment","Centro","Palacio",40.41235,-3.70967,"Entire home/apt",55,2,2.46,269
"50",199016,"Room in central top floor with 2 terraces","Centro","Universidad",40.4257,-3.70383,"Private room",28,2,0.35,364
"51",199201,"Converted theatre, historic centre","Centro","Embajadores",40.41319,-3.7024,"Private room",75,3,1.27,364
"52",200828,"FRENTE MAR, ZONA CALAS. PISCINA.","Salamanca","Castellana",40.43201,-3.68358,"Entire home/apt",214,7,0,365
"53",201033,"Shiny Room in Malasaña II/Center","Centro","Universidad",40.4221,-3.70685,"Private room",40,1,0.45,1
"54",204570,"Lovely 110m2 home - Best location!","Centro","Cortes",40.4152,-3.69668,"Entire home/apt",80,5,0.86,150
"55",205199,"Tafari Gran Via","Centro","Universidad",40.42116,-3.70384,"Entire home/apt",85,3,2.33,365
"56",207275,"Bedroom with views","Moncloa - Aravaca","Casa de Campo",40.42829,-3.72119,"Private room",50,10,0.08,365
"57",209373,"Attic in the Heart of Madrid-WIFI","Centro","Embajadores",40.41126,-3.70347,"Private room",30,7,0.33,277
"58",209780,"The Mad B&B - Cool 3BD with Wifi & AC","Carabanchel","Abrantes",40.37935,-3.73162,"Entire home/apt",94,2,1.66,0
"59",211444,"Private Room in a Sunny and Luxuriously Appointed Apartment","Hortaleza","Canillas",40.45959,-3.64699,"Private room",55,2,1.06,365
"60",217674,"PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY","Centro","Sol",40.41538,-3.70741,"Entire home/apt",101,3,1.81,316
"61",219303,"*** Malasaña B&B exterior***","Centro","Universidad",40.42377,-3.70241,"Private room",19,1,1.6,364
"62",225462,"Bright silent room in the center","Centro","Cortes",40.41366,-3.69788,"Private room",30,2,1.3,338
"63",225489,"Madrid City Center. Room for 1 or 2 people.","Chamberí","Arapiles",40.43595,-3.70706,"Private room",25,25,0.3,0
"64",229664,"Beautiful cozy loft madrid center","Centro","Embajadores",40.4078,-3.70085,"Entire home/apt",43,2,4.25,289
"65",231861,"COMFORTABLE ROOM IN A GREAT AREA!!!","Chamberí","Trafalgar",40.43699,-3.70037,"Private room",61,1,0,0
"66",240128,"CHEAP  ROOM ONLY GIRLS OR COUPLES","Carabanchel","Opañel",40.3924,-3.72344,"Private room",25,5,0.67,364
"67",256004,"CASA ARCO CUCHILLEROS-BOTIN","Centro","Sol",40.41428,-3.70767,"Entire home/apt",80,3,1.32,365
"68",260656,"Quiet duplex apartment in Lavapiés","Centro","Embajadores",40.40743,-3.70114,"Entire home/apt",88,7,0.32,362
"69",260951,"Spectacular Loft ""A"" Ifema  Madrid","Hortaleza","Valdefuentes",40.47189,-3.62966,"Entire home/apt",95,3,1.24,0
"70",261878,"GREAT STUDIO! BEST REVIEWS! CENTRAL","Centro","Universidad",40.42269,-3.70378,"Entire home/apt",67,3,4.22,151
"71",263748,"LOFT ""C"" modern design loft IFEMA","Hortaleza","Valdefuentes",40.47142,-3.62881,"Entire home/apt",64,4,1.05,37
"72",268275,"Madrid center with balconies","Centro","Embajadores",40.41194,-3.70339,"Entire home/apt",79,2,0.51,104
"73",280733,"Stylish apartment you will love with balconies","Centro","Universidad",40.42457,-3.70802,"Entire home/apt",110,5,0.34,184
"74",281224,"Central & Comfy Apartment in Opera - Royal Palace","Centro","Palacio",40.41685,-3.70882,"Entire home/apt",68,2,1.9,163
"75",282195,"Winter Offer 40m2 Wifi. Centre O","Centro","Cortes",40.41391,-3.7005,"Entire home/apt",71,3,0.49,340
"76",282196,"COZY FLAT, SANTA ANA,40m2,WIFI (I)","Centro","Cortes",40.41392,-3.70049,"Entire home/apt",59,3,0.65,341
"77",282715,"Cozy and Luxury Penthouse, GL*****Madrid","Salamanca","Recoletos",40.42432,-3.68329,"Entire home/apt",175,2,1.02,337
"78",283862,"CENTER
HISTORICAL, SOL, DUPLEX","Centro","Sol",40.41681,-3.70747,"Entire home/apt",106,1,0.47,0
"79",287660,"Beatiful downtown room with balcony","Centro","Universidad",40.42683,-3.71108,"Private room",30,1,0.1,0
"80",289555,"Casa Museo del Prado-Private room.","Centro","Cortes",40.41758,-3.69631,"Private room",26,1,1.81,308
"81",294520,"Centro de Madrid Gran Habitación","Centro","Justicia",40.42226,-3.69959,"Private room",50,2,0.33,0
"82",294529,"Centro de Madrid. Room 3","Centro","Justicia",40.42226,-3.69959,"Private room",37,4,0.49,365
"83",297017,"Charming Prado Luxury","Centro","Cortes",40.41414,-3.69419,"Entire home/apt",89,3,0.91,344
"84",310333,"Central, cute & Art Apartment","Centro","Embajadores",40.40908,-3.69514,"Entire home/apt",61,4,1.03,333
"85",310678,"Precioso apartamento en Gran Via","Centro","Universidad",40.42163,-3.70785,"Entire home/apt",68,3,2.77,263
"86",315682,"QUIET and SPACIOUS .Heart of Malasaña.Madrid.","Centro","Universidad",40.42365,-3.70379,"Entire home/apt",172,3,1.89,0
"87",316711,"OPERA, PALACIO REAL, CENTRO, SOL","Centro","Sol",40.41822,-3.70845,"Private room",200,15,0.25,159
"88",333974,"Winter froml 34€per.Centric.Wifi E","Centro","Cortes",40.41392,-3.70049,"Entire home/apt",59,3,0.59,341
"89",336672,"Great apartment 84 rooms8 close to City Center","Arganzuela","Delicias",40.39516,-3.69309,"Entire home/apt",106,2,1.4,90
"90",336834,"2 bedroom apartament in Chueca-Fuen","Centro","Justicia",40.42242,-3.69562,"Entire home/apt",65,5,0.4,1
"91",336869,"Direct to Plaza Mayor!","Centro","Sol",40.41593,-3.70602,"Private room",87,2,0.96,0
"92",337292,"Principe de Vergara. Homey Room","Chamartín","Ciudad Jardín",40.44663,-3.67625,"Private room",35,2,0.07,0
"93",339144,"COZY APARTMENT MADRID MALASAÑA","Centro","Universidad",40.42838,-3.70345,"Entire home/apt",64,3,1.13,258
"94",339171,"PRADO MUSEUM AIR & OnSiteParking (*)","Centro","Cortes",40.41285,-3.69553,"Entire home/apt",82,3,1.44,304
"95",339813,"Room in Madrid Center good ambient","Centro","Cortes",40.41204,-3.6975,"Entire home/apt",80,2,0.02,364
"96",341939,"Self-catering Apartment in Madrid","Centro","Embajadores",40.41037,-3.70018,"Entire home/apt",55,30,1.51,289
"97",342095,"Lovely apartment CENTRAL MADRID !","Centro","Embajadores",40.41015,-3.69797,"Entire home/apt",79,5,0.3,363
"98",342557,"Berlin's Park at your window. Parking included.","Chamartín","Ciudad Jardín",40.45005,-3.67569,"Private room",70,2,0.6,343
"99",342952,"Special price 29€ per.Center.Wifi U","Centro","Cortes",40.41392,-3.70049,"Entire home/apt",59,3,1.07,340
"100",345195,"DUPLO Heart of Madrid/Malasaña","Centro","Universidad",40.42365,-3.70536,"Entire home/apt",89,3,0.04,0
"101",345230,"GOYA apartment.Heart of Madrid","Centro","Universidad",40.42531,-3.70597,"Private room",77,3,0.05,89
"102",345233,"MIRO apartment.Heart of Madrid","Centro","Universidad",40.42504,-3.704,"Private room",77,3,0.04,89
"103",345249,"CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT","Tetuán","Almenara",40.47148,-3.68946,"Entire home/apt",166,2,0.28,325
"104",347510,"Classy Central Family Alcalá Deluxe","Salamanca","Fuente del Berro",40.42881,-3.66605,"Entire home/apt",223,2,0.39,356
